    排名    	　　　　电影　　　　	        评分        
    1     	肖申克的救赎　　　　	       9.6        
    2     	霸王别姬　　　　　　	       9.6        
    3     	这个杀手不太冷　　　	       9.4        
    4     	阿甘正传　　　　　　	       9.4        
    5     	美丽人生　　　　　　	       9.5        
    6     	泰坦尼克号　　　　　	       9.3        
    7     	千与千寻　　　　　　	       9.3        
    8     	辛德勒的名单　　　　	       9.4        
    9     	盗梦空间　　　　　　	       9.3        
    10    	机器人总动员　　　　	       9.3        
    11    	忠犬八公的故事　　　	       9.3        
    12    	三傻大闹宝莱坞　　　	       9.2        
    13    	海上钢琴师　　　　　	       9.2        
    14    	放牛班的春天　　　　	       9.2        
    15    	大话西游之大圣娶亲　	       9.2        
    16    	楚门的世界　　　　　	       9.2        
    17    	教父　　　　　　　　	       9.2        
    18    	龙猫　　　　　　　　	       9.1        
    19    	星际穿越　　　　　　	       9.2        
    20    	熔炉　　　　　　　　	       9.2        
    21    	无间道　　　　　　　	       9.1        
    22    	触不可及　　　　　　	       9.2        
    23    	当幸福来敲门　　　　	       9.0        
    24    	乱世佳人　　　　　　	       9.2        
    25    	怦然心动　　　　　　	       9.0        
    26    	疯狂动物城　　　　　	       9.1        
    27    	天堂电影院　　　　　	       9.1        
    28    	蝙蝠侠：黑暗骑士　　	       9.1        
    29    	活着　　　　　　　　	       9.1        
    30    	十二怒汉　　　　　　	       9.4        
    31    	鬼子来了　　　　　　	       9.2        
    32    	少年派的奇幻漂流　　	       9.0        
    33    	指环王3：王者无敌　	       9.1        
    34    	搏击俱乐部　　　　　	       9.0        
    35    	天空之城　　　　　　	       9.0        
    36    	控方证人　　　　　　	       9.6        
    37    	飞屋环游记　　　　　	       8.9        
    38    	大话西游之月光宝盒　	       8.9        
    39    	罗马假日　　　　　　	       9.0        
    40    	窃听风暴　　　　　　	       9.1        
    41    	两杆大烟枪　　　　　	       9.1        
    42    	摔跤吧！爸爸　　　　	       9.1        
    43    	飞越疯人院　　　　　	       9.0        
    44    	闻香识女人　　　　　	       9.0        
    45    	哈尔的移动城堡　　　	       8.9        
    46    	辩护人　　　　　　　	       9.2        
    47    	死亡诗社　　　　　　	       9.0        
    48    	V字仇杀队　　　　　	       8.8        
    49    	海豚湾　　　　　　　	       9.3        
    50    	教父2　　　　　　　	       9.1        
    51    	指环王2：双塔奇兵　	       9.0        
    52    	指环王1：魔戒再现　	       8.9        
    53    	美丽心灵　　　　　　	       8.9        
    54    	饮食男女　　　　　　	       9.1        
    55    	情书　　　　　　　　	       8.8        
    56    	素媛　　　　　　　　	       9.1        
    57    	狮子王　　　　　　　	       8.9        
    58    	美国往事　　　　　　	       9.1        
    59    	钢琴家　　　　　　　	       9.1        
    60    	小鞋子　　　　　　　	       9.2        
    61    	七宗罪　　　　　　　	       8.8        
    62    	被嫌弃的松子的一生　	       8.9        
    63    	致命魔术　　　　　　	       8.8        
    64    	天使爱美丽　　　　　	       8.7        
    65    	本杰明·巴顿奇事　　	       8.8        
    66    	西西里的美丽传说　　	       8.8        
    67    	黑客帝国　　　　　　	       8.9        
    68    	音乐之声　　　　　　	       8.9        
    69    	让子弹飞　　　　　　	       8.7        
    70    	拯救大兵瑞恩　　　　	       8.9        
    71    	看不见的客人　　　　	       8.7        
    72    	低俗小说　　　　　　	       8.8        
    73    	勇敢的心　　　　　　	       8.8        
    74    	剪刀手爱德华　　　　	       8.7        
    75    	末代皇帝　　　　　　	       9.0        
    76    	沉默的羔羊　　　　　	       8.8        
    77    	大闹天宫　　　　　　	       9.3        
    78    	蝴蝶效应　　　　　　	       8.7        
    79    	春光乍泄　　　　　　	       8.8        
    80    	入殓师　　　　　　　	       8.8        
    81    	心灵捕手　　　　　　	       8.8        
    82    	哈利·波特与魔法石　	       8.8        
    83    	玛丽和马克思　　　　	       8.9        
    84    	阳光灿烂的日子　　　	       8.8        
    85    	布达佩斯大饭店　　　	       8.8        
    86    	禁闭岛　　　　　　　	       8.7        
    87    	猫鼠游戏　　　　　　	       8.8        
    88    	幽灵公主　　　　　　	       8.8        
    89    	第六感　　　　　　　	       8.8        
    90    	重庆森林　　　　　　	       8.7        
    91    	狩猎　　　　　　　　	       9.1        
    92    	致命ID　　　　　　	       8.7        
    93    	断背山　　　　　　　	       8.7        
    94    	穿条纹睡衣的男孩　　	       8.9        
    95    	大鱼　　　　　　　　	       8.7        
    96    	加勒比海盗　　　　　	       8.6        
    97    	告白　　　　　　　　	       8.7        
    98    	一一　　　　　　　　	       8.9        
    99    	甜蜜蜜　　　　　　　	       8.8        
   100    	阿凡达　　　　　　　	       8.6        
   101    	射雕英雄传之东成西就	       8.7        
   102    	摩登时代　　　　　　	       9.2        
   103    	阳光姐妹淘　　　　　	       8.8        
   104    	上帝之城　　　　　　	       8.9        
   105    	爱在黎明破晓前　　　	       8.7        
   106    	消失的爱人　　　　　	       8.7        
   107    	侧耳倾听　　　　　　	       8.8        
   108    	风之谷　　　　　　　	       8.8        
   109    	爱在日落黄昏时　　　	       8.8        
   110    	超脱　　　　　　　　	       8.8        
   111    	倩女幽魂　　　　　　	       8.6        
   112    	恐怖直播　　　　　　	       8.7        
   113    	小森林 夏秋篇　　　	       8.9        
   114    	喜剧之王　　　　　　	       8.6        
   115    	红辣椒　　　　　　　	       8.9        
   116    	菊次郎的夏天　　　　	       8.7        
   117    	驯龙高手　　　　　　	       8.7        
